cep,uf,cidade,latitude,longitude
69087058,AM,Manaus,-3.0456776,-59.9296213
69086390,AM,Manaus,-3.0692938,-59.9529217
69089247,AM,Manaus,-3.0949356,-59.942963
69089070,AM,Manaus,-3.0899234,-59.9391544
69085010,AM,Manaus,-3.0704203,-59.9496755
69030510,AM,Manaus,-3.1079608,-60.0448699
69001019,,,,
69008030,AM,Manaus,-3.083589,-59.8955845
69073524,AM,Manaus,-3.0941855,-59.9872478
69008320,AM,Manaus,-3.0875233,-59.8826943
69075240,AM,Manaus,-3.1287356,-59.96505
69088765,AM,Manaus,-3.035474,-59.9338999
69021625,,,,
69030032,AM,Manaus,-3.1007423,-60.0537522
69030095,AM,Manaus,-3.1007423,-60.0537522
69035274,,,,
69033210,AM,Manaus,-3.1043472,-60.0296862
69033660,AM,Manaus,-3.1128725,-60.0396781
69029550,AM,Manaus,-3.0021289,-60.0148294
69043371,AM,Manaus,-3.1082183,-60.0372481
69042690,AM,Manaus,-3.0808326,-60.0576662
69048382,AM,Manaus,-3.0639768,-60.0316974
69047501,AM,Manaus,-3.0559824,-60.0423868
69043154,AM,Manaus,-3.079762,-60.0440259
69037545,AM,Manaus,-3.0810928,-60.0600291
69037530,AM,Manaus,-3.0854046,-60.0730793
69035320,,,,
69035801,AM,Manaus,-3.0993366,-60.0680226
69025260,AM,Manaus,-2.9552889,-60.0330583
69068270,AM,Manaus,-3.1176148,-59.9835439
69077150,AM,Manaus,-3.0941855,-59.9872478
69076790,AM,Manaus,-3.1175675,-59.9796894
69063430,AM,Manaus,-3.1182838,-59.995418
69063590,AM,Manaus,-3.1183275,-59.9948187
69028060,AM,Manaus,-3.0488362,-60.0022951
69048992,AM,Manaus,-2.9389853,-60.0338319
69020070,AM,Manaus,-3.126926,-60.0094281
69063460,AM,Manaus,-3.1225816,-59.9942424
69020141,AM,Manaus,-3.1264082,-60.0117977
69077000,AM,Manaus,-3.0941855,-59.9872478
69070530,AM,Manaus,-3.086904,-59.9786625
69055000,AM,Manaus,-3.0291668,-59.9397053
69053415,AM,Manaus,-3.0934967,-60.0240974
69036031,AM,Manaus,-3.0992654,-60.0533893
69035420,,,,
69067250,AM,Manaus,-3.1004354,-59.9917362
69092500,AM,Manaus,-3.0047014,-60.0025089
69088464,AM,Manaus,-3.0338668,-59.9204304
69084160,AM,Manaus,-3.0818073,-59.9450759
69093645,AM,Manaus,-3.0356843,-60.0012749
69054700,AM,Manaus,-3.0614638,-60.0009621
69075351,AM,Manaus,-3.1331774,-59.9744112
69010001,AM,Manaus,-3.1324622,-60.024117
69020545,AM,Manaus,-3.116667,-60.019335
69080030,AM,Manaus,-3.0937703,-59.9841531
69020031,AM,Manaus,-3.1378546,-60.0204592
69079265,AM,Manaus,-3.114829,-60.0106346
69010300,AM,Manaus,-3.129236,-60.0305039
69025050,AM,Manaus,-3.1171578,-60.0087324
69008000,AM,Manaus,-3.1326645,-60.0205917
69053750,AM,Manaus,-3.0934967,-60.0240974
69040240,AM,Manaus,-3.0937774,-60.0383527
69093018,AM,Manaus,-3.0061684,-60.032758
69042390,AM,Manaus,-3.0808326,-60.0576662
69053135,AM,Manaus,-3.1132359,-60.0163801
69010150,AM,Manaus,-3.0107353,-60.0135806
